Distance	Measurement 1	Measurement 2
0.00,	333.80,	275
0.00,	334.00,	275.2
0.00,	334.00,	275
0.00,	334.20,	275.2
0.00,	334.20,	275
0.00,	334.20,	275
0.00,	334.20,	275
0.00,	334.00,	275
0.00,	334.00,	275
0.00,	334.20,	275
0.00,	334.00,	274.8
0.00,	334.20,	274.8
0.00,	334.40,	274.6
0.00,	334.40,	274.8
0.00,	334.00,	275
0.00,	334.00,	275.2
0.00,	333.00,	275
0.00,	333.20,	276
0.00,	333.20,	275.8
0.00,	333.20,	275.8
0.00,	333.20,	275.8
0.00,	333.00,	275.8
0.00,	333.00,	275.8
0.00,	332.80,	276
0.00,	332.40,	276.4
0.00,	332.40,	276.6
0.00,	332.40,	276.6
0.00,	332.60,	276.6
0.00,	333.00,	276.8
0.00,	333.80,	277.2
0.00,	334.80,	278
0.00,	335.60,	278.2
0.00,	336.40,	278.8
0.00,	337.00,	279
0.00,	337.80,	279.6
0.00,	338.40,	279.8
0.00,	339.40,	280.6
0.00,	340.40,	280.2
0.00,	342.00,	281
0.00,	343.60,	281.6
0.00,	345.20,	282.4
0.00,	347.40,	283.4
0.00,	349.60,	285
0.00,	352.40,	285.8
0.00,	355.40,	286.8
0.00,	358.60,	288.2
0.00,	362.20,	289.8
0.00,	366.00,	291.4
0.00,	369.40,	293.4
0.00,	372.20,	294.8
0.00,	375.20,	296.4
0.00,	378.20,	298.4
0.00,	382.00,	300.4
0.00,	386.40,	302.8
0.00,	390.60,	305.2
0.00,	395.60,	307.8
0.00,	400.80,	310.4
0.00,	406.20,	313.4
0.00,	411.00,	316.4
0.00,	416.00,	319.2
0.00,	421.20,	322.2
0.00,	426.40,	325.2
0.00,	432.00,	327.8
0.00,	437.00,	330.8
0.00,	442.80,	333.8
0.00,	449.40,	336.6
0.00,	454.40,	339.6
0.00,	459.20,	342.4
0.00,	464.40,	344.8
0.00,	470.00,	347.8
0.00,	475.20,	350.4
0.00,	480.60,	353
0.00,	485.40,	355.6
0.00,	490.00,	358
0.00,	496.40,	360
0.00,	500.40,	362.2
0.00,	502.40,	364
0.00,	503.40,	364.8
0.00,	504.40,	365.8
0.00,	504.40,	366.8
0.00,	504.20,	367.2
0.00,	503.20,	367.4
0.00,	502.60,	367.8
0.00,	501.60,	368.4
0.00,	500.00,	368.6
0.00,	497.40,	369
0.00,	495.60,	369
0.00,	494.00,	369
0.00,	491.60,	369
0.00,	489.00,	368.6
0.00,	487.00,	368.4
0.00,	485.00,	368.2
0.00,	483.20,	368
0.00,	481.40,	368
0.00,	477.60,	367.6
0.00,	475.60,	367.4
0.00,	475.00,	367
0.00,	474.60,	367.2
0.00,	474.40,	367.4
0.00,	475.00,	367.6
0.00,	475.60,	368.2
0.00,	476.40,	368.6
0.00,	476.40,	370.2
0.00,	476.80,	370
0.00,	477.20,	370
0.00,	476.80,	370
0.00,	476.80,	370
0.00,	476.20,	371.4
0.00,	476.40,	371.2
0.00,	476.40,	371.4
0.00,	476.40,	371.4
0.00,	475.80,	371.6
0.00,	474.60,	371.2
0.00,	473.20,	370.8
0.00,	472.20,	370.8
0.00,	470.80,	370.6
0.00,	469.80,	370.6
0.00,	469.00,	370.6
0.00,	468.40,	370.4
0.00,	468.00,	370.6
0.00,	467.60,	370.4
0.00,	467.20,	370.6
0.00,	466.80,	369.4
0.00,	466.80,	370
0.00,	466.60,	370.4
0.00,	467.00,	370.8
0.00,	468.60,	371
0.00,	468.80,	369.8
0.00,	468.80,	370
0.00,	468.60,	370
0.01,	467.20,	370
0.03,	467.20,	370.6
0.09,	466.20,	371.4
0.13,	464.80,	371.8
0.21,	463.20,	372.4
0.27,	462.00,	373.2
0.31,	461.00,	374.4
0.34,	460.20,	376
0.34,	459.00,	377.6
0.34,	457.80,	379
0.34,	456.40,	381
0.34,	454.80,	382.6
0.34,	453.60,	384.2
0.34,	451.60,	385.6
0.34,	450.20,	387.2
0.34,	448.60,	388.8
0.34,	445.40,	390.4
0.34,	444.20,	392.2
0.34,	443.00,	394.2
0.36,	442.20,	396.4
0.40,	442.60,	399.6
0.40,	442.00,	401.8
0.42,	444.00,	404.8
0.42,	445.20,	407.8
0.42,	446.40,	410.6
0.42,	447.60,	413.2
0.42,	448.20,	415.2
0.42,	448.80,	417
0.42,	449.60,	418.8
0.42,	450.20,	420.8
0.42,	451.00,	422.2
0.42,	452.00,	425.4
0.42,	452.60,	427.2
0.42,	453.60,	428.8
0.42,	454.20,	430.6
0.42,	454.80,	432
0.42,	455.80,	433.6
0.42,	456.40,	435
0.42,	457.00,	436.4
0.42,	457.40,	437.6
0.42,	457.20,	438
0.45,	457.40,	439.2
0.49,	457.00,	440.6
0.54,	458.80,	443
0.61,	462.20,	446.4
0.67,	467.00,	451
0.73,	472.40,	456.8
0.76,	478.80,	463
0.76,	485.40,	469.4
0.76,	492.20,	475.4
0.76,	498.60,	481.6
0.76,	505.20,	486.2
0.76,	511.80,	492.4
0.76,	518.40,	498.6
0.76,	525.20,	504.8
0.76,	532.00,	511.2
0.76,	538.60,	517.6
0.76,	545.40,	524
0.78,	552.20,	530.6
0.80,	559.40,	537.8
0.85,	567.80,	545.6
0.89,	576.80,	553.8
0.97,	586.60,	562.4
1.01,	596.60,	571.2
1.09,	606.80,	580.2
1.12,	616.80,	588.8
1.16,	626.60,	597.2
1.19,	636.20,	605.4
1.21,	645.80,	614.2
1.21,	655.80,	623.4
1.22,	666.20,	633.2
1.22,	677.00,	645.8
1.22,	687.60,	655.6
1.22,	698.20,	665.4
1.22,	708.60,	675
1.22,	719.00,	684.4
1.24,	730.20,	696.8
1.28,	742.00,	706.8
1.34,	755.00,	718
1.40,	769.60,	730.6
1.48,	785.00,	744.2
1.58,	801.80,	758.6
1.62,	818.40,	773.4
1.68,	835.20,	787.8
1.70,	850.40,	801.8
1.70,	864.80,	814.8
1.70,	878.40,	827
1.70,	891.40,	838.8
1.70,	904.40,	849.8
1.70,	917.00,	860.8
1.70,	929.00,	870.8
1.70,	941.00,	878.6
1.70,	952.60,	888.6
1.70,	964.80,	899.6
1.70,	976.80,	909.8
1.70,	989.00,	924.4
1.70,	1000.6	, 932.00
1.70,	1011.4	, 942.60
1.70,	1021.4	, 951.60
1.70,	1029	, 958.60
1.70,	1035.4	, 964.00
1.70,	1038.8	, 967.20
1.70,	1041.4	, 969.40
1.71,	1042.2	, 970.60
1.71,	1043.6	, 971.60
1.76,	1045.6	, 973.80
1.86,	1049.8	, 978.20
1.98,	1057.2	, 985.80
2.10,	1067.8	, 996.40
2.16,	1080.6	, 1008.40
2.22,	1094.6	, 1021.80
2.24,	1108	, 1034.60
2.24,	1122.4	, 1048.00
2.24,	1136	, 1060.60
2.24,	1149.8	, 1073.80
2.24,	1163.6	, 1082.60
2.25,	1177.8	, 1095.80
2.25,	1192.4	, 1108.80
2.25,	1207	, 1122.20
2.25,	1222	, 1136.20
2.25,	1236.4	, 1150.00
2.25,	1255.2	, 1164.60
2.25,	1269.4	, 1178.40
2.25,	1283.8	, 1192.20
2.25,	1297	, 1205.20
2.25,	1309.2	, 1216.80
2.25,	1320	, 1226.00
2.25,	1327.6	, 1232.20
2.25,	1336.8	, 1235.80
2.25,	1339.4	, 1238.20
2.25,	1341.4	, 1239.80
2.25,	1343	, 1241.60
2.25,	1344	, 1243.20
2.30,	1346	, 1245.40
2.35,	1349.8	, 1249.20
2.43,	1357.2	, 1256.00
2.52,	1365.8	, 1264.60
2.56,	1374.8	, 1272.60
2.58,	1384.8	, 1282.40
2.58,	1394	, 1290.40
2.58,	1404.6	, 1299.80
2.58,	1410.2	, 1308.40
2.59,	1421.4	, 1317.80
2.59,	1431.8	, 1327.20
2.59,	1443.8	, 1336.80
2.59,	1455	, 1347.40
2.64,	1467.6	, 1358.80
2.67,	1480.6	, 1372.00
2.68,	1490.4	, 1385.60
2.68,	1502.8	, 1402.60
2.68,	1516.2	, 1415.60
2.68,	1529.6	, 1427.00
2.68,	1542.8	, 1439.60
2.68,	1556.2	, 1451.20
2.68,	1566.6	, 1461.00
2.68,	1575.2	, 1469.60
2.68,	1588	, 1474.40
2.68,	1593.6	, 1481.00
2.68,	1598	, 1484.40
2.68,	1602.2	, 1489.80
2.74,	1608.2	, 1496.40
2.85,	1617.8	, 1504.40
2.98,	1629.4	, 1515.40
3.07,	1645.4	, 1529.40
3.16,	1663.4	, 1545.80
3.19,	1685	, 1563.20
3.28,	1708.4	, 1584.00
3.38,	1732.2	, 1605.40
3.49,	1759.2	, 1627.40
3.59,	1791	, 1651.40
3.67,	1828	, 1680.80
3.74,	1865.4	, 1711.20
3.83,	1904.8	, 1744.00
3.95,	1948	, 1781.80
4.08,	1998	, 1823.60
4.16,	2051.6	, 1866.00
4.20,	2099.6	, 1914.40
4.20,	2151.2	, 1960.20
4.20,	2203.6	, 2004.60
4.20,	2261	, 2050.00
4.20,	2313	, 2095.60
4.20,	2361	, 2137.40
4.20,	2410.4	, 2175.60
4.20,	2454.6	, 2215.20
4.20,	2493.6	, 2249.60
4.22,	2534	, 2282.00
4.22,	2569	, 2313.80
4.22,	2600.4	, 2340.40
4.22,	2631.2	, 2364.80
4.22,	2657.4	, 2387.40
4.22,	2674.6	, 2405.20
4.22,	2695.4	, 2422.40
4.22,	2713.8	, 2439.40
4.22,	2723.8	, 2449.40
4.22,	2731.6	, 2453.60
4.22,	2734.2	, 2459.00
4.22,	2732.6	, 2459.00
4.22,	2735.2	, 2456.80
4.22,	2739.8	, 2459.40
4.22,	2736.8	, 2462.60
4.22,	2735.4	, 2459.20
4.22,	2739.4	, 2459.00
4.22,	2735.8	, 2461.80
4.22,	2732.6	, 2457.80
4.22,	2734.8	, 2455.80
4.22,	2732	, 2458.20
4.22,	2728.2	, 2454.60
4.22,	2730.8	, 2452.00
